Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2018,-,-,-,-,G,FI,P,172595,83969,297728,129243,683536
2018,-,-,-,-,U,FI,P,46447,293,12180,113073,171993
2018,-,-,-,-,G,AR,P,13127,3044,53133,49938,119242
2018,-,-,-,-,G,FA,P,21525,5668,23872,17306,68371
2018,-,-,-,-,U,AR,P,548,0,6791,732,8071
2018,-,-,-,-,G,RA,P,3266,2213,12779,23751,42009
2018,-,-,-,-,G,AR,C,4383,0,6580,541,11504
2018,-,-,-,-,G,JR,P,16115,14850,84718,81176,196859
2018,-,-,-,-,G,NA,P,39639,32812,72001,44331,188783
2018,-,-,-,-,G,FI,C,28,0,89,13,130
2018,-,-,-,-,G,TA,P,0,5995,0,2108,8103
2018,-,-,-,-,U,JR,P,10,0,115,27,152
2018,-,-,-,-,U,RA,P,273,0,381,121,775
2018,-,-,-,-,G,EO,P,9933,0,28909,16036,54878
2018,-,-,-,-,G,IN,C,20618,0,33550,30507,84675
2018,-,-,-,-,J,FI,P,2356,5,220,2822,5403
2018,-,-,-,-,U,FA,P,255,0,0,2517,2772
2018,-,-,-,-,U,FI,C,5,0,0,0,5
2019,-,-,-,-,G,FI,P,255845,76330,315013,184424,832890
2019,-,-,-,-,U,FI,P,44700,0,5386,68580,118666
2019,-,-,-,-,G,AR,P,22473,5271,83088,43457,154291
2019,-,-,-,-,G,FA,P,15812,2580,23627,21387,63406
2019,-,-,-,-,G,RA,P,2097,1603,8735,24163,36598
2019,-,-,-,-,G,JR,P,8977,13387,62678,71096,156138
2019,-,-,-,-,G,FI,C,1797,406,2013,649,4865
2019,-,-,-,-,G,RA,C,280,46,1259,957,2542
2019,-,-,-,-,G,AR,C,3974,0,4989,637,9600
2019,-,-,-,-,G,NA,P,43817,23932,51382,38590,157721
2019,-,-,-,-,U,AR,P,837,0,2299,1329,4465
2019,-,-,-,-,G,TA,P,5945,0,0,1685,7630
2019,-,-,-,-,G,EO,P,15266,0,50791,20480,86537
2019,-,-,-,-,G,IN,C,23688,0,53146,15571,92405
2019,-,-,-,-,U,RA,P,113,0,45,170,328
2019,-,-,-,-,J,FI,P,1109,0,66,922,2097
2019,-,-,-,-,J,AR,P,62,0,0,0,62
2019,-,-,-,-,U,FA,P,32,0,23,546,601
2019,-,-,-,-,U,JR,P,18,0,0,20,38
2020,-,-,-,-,U,FI,P,27002,0,7263,32875,67140
2020,-,-,-,-,G,FI,P,199261,79634,292620,157555,728529
2020,-,-,-,-,G,AR,P,24947,4943,90714,20743,141348
2020,-,-,-,-,G,FA,P,11119,3631,19445,15764,49959
2020,-,-,-,-,U,AR,P,824,0,764,1395,2983
2020,-,-,-,-,G,RA,P,2387,1420,12681,19263,35751
2020,-,-,-,-,G,JR,P,6723,14567,47311,58685,127286
2020,-,-,-,-,G,AR,C,1510,0,1871,383,3764
2020,-,-,-,-,G,NA,P,55388,4599,19088,44068,123143
2020,-,-,-,-,G,TA,P,5547,0,0,1774,7321
2020,-,-,-,-,G,EO,P,7450,0,27909,9964,45323
2020,-,-,-,-,G,IN,C,8185,0,23318,16300,47803
2020,-,-,-,-,G,SP,P,0,0,10,0,10
2020,-,-,-,-,U,RA,P,65,0,5,196,266
2020,-,-,-,-,J,FI,P,328,0,0,79,407
2020,-,-,-,-,J,AR,P,55,0,0,0,55
2021,-,-,-,-,G,FI,P,292196,84330,321537,163713,861776
2021,-,-,-,-,U,FI,P,16194,0,4879,25835,46908
2021,-,-,-,-,G,AR,P,20472,6351,80826,50095,157744
2021,-,-,-,-,G,FA,P,18710,8925,30356,21755,79746
2021,-,-,-,-,U,AR,P,589,0,3129,555,4273
2021,-,-,-,-,G,JR,P,7019,13020,38330,52108,110477
2021,-,-,-,-,G,RA,P,2524,1770,5821,39143,49258
2021,-,-,-,-,G,AR,C,1698,0,1663,506,3867
2021,-,-,-,-,G,TA,P,4003,0,0,986,4989
2021,-,-,-,-,G,EO,P,6613,0,12892,20301,39806
2021,-,-,-,-,G,IN,P,10705,0,29104,21728,61537
2021,-,-,-,-,U,RA,P,72,0,15,1265,1352
2021,-,-,-,-,J,FI,P,264,0,0,25,289
2021,-,-,-,-,J,AR,P,15,0,0,0,15
2021,-,-,-,-,G,SP,P,0,10,0,0,10
2022,-,-,-,-,G,FI,P,305815,142792,342871,338274,1129752
2022,-,-,-,-,U,AR,P,980,0,2115,5324,8419
2022,-,-,-,-,U,FI,P,34114,0,5867,42373,82354
2022,-,-,-,-,G,AR,P,24907,4448,93802,54186,177343
2022,-,-,-,-,G,FA,P,19785,12729,35078,122656,190248
2022,-,-,-,-,G,JR,P,6276,11015,35082,62196,114569
2022,-,-,-,-,G,RA,P,4081,10210,5862,22366,42519
2022,-,-,-,-,G,AR,C,1758,40,4552,697,7047
2022,-,-,-,-,G,FI,C,68,45,6249,4541,10903
2022,-,-,-,-,G,TA,P,98644,0,0,3542,102186
2022,-,-,-,-,U,RA,P,57,0,23,10,90
2022,-,-,-,-,G,EO,P,18768,0,29999,82594,131361
2022,-,-,-,-,G,IN,P,19895,0,22882,17704,60481
2022,-,-,-,-,J,FI,P,362,0,0,133,495
2023,-,-,-,-,G,FI,P,176976,97730,161215,250148,686069
2023,-,-,-,-,U,FI,P,17552,0,3126,27430,48108
2023,-,-,-,-,G,FA,P,10708,7196,15085,30130,63119
2023,-,-,-,-,G,JR,P,2336,2558,20164,28823,53881
2023,-,-,-,-,G,AR,P,11847,2206,31763,36741,82557
2023,-,-,-,-,G,RA,P,2246,2671,3781,9921,18619
2023,-,-,-,-,G,AR,C,645,5,2098,390,3138
2023,-,-,-,-,U,AR,P,637,0,1237,616,2490
2023,-,-,-,-,G,FI,C,30,67,3797,1323,5217
2023,-,-,-,-,G,TA,P,4046,0,0,890,4936
2023,-,-,-,-,G,EO,P,11910,0,16466,58103,86479
2023,-,-,-,-,G,IN,P,18834,0,7397,10319,36550
2023,-,-,-,-,U,RA,P,23,0,15,23,61
2023,-,-,-,-,J,FI,P,426,0,0,30,456
